Date,Name,Symbol,Price,Market Cap,Circulating Supply
Historical Snapshot - 20 April 2014,Dash,DASH,$0.7229,"$2,958,105.09","4,091,849"
Historical Snapshot - 11 May 2014,Litecoin,LTC,$10.36,"$292,765,103.13","28,267,354"
Historical Snapshot - 11 May 2014,XRP,XRP,$0.005754,"$44,981,568.00","7,817,889,792"
Historical Snapshot - 11 May 2014,Peercoin,PPC,$2.07,"$44,197,252.82","21,391,686"
Historical Snapshot - 11 May 2014,Dogecoin,DOGE,$0.0004562,"$35,195,711.23","77,153,173,504"
Historical Snapshot - 11 May 2014,Nxt,NXT,$0.02999,"$29,994,067.97","999,997,120"
Historical Snapshot - 11 May 2014,Omni,OMNI,$31.26,"$19,361,948.61","619,478"
Historical Snapshot - 11 May 2014,Namecoin,NMC,$2.05,"$17,897,532.76","8,734,232"
Historical Snapshot - 11 May 2014,Dash,DASH,$2.57,"$10,967,002.39","4,266,030"
Historical Snapshot - 11 May 2014,BlackCoin,BLK,$0.1169,"$8,709,915.87","74,530,048"
Historical Snapshot - 11 May 2014,BitShares PTS,PTS,$3.57,"$5,844,252.89","1,635,783"
Historical Snapshot - 11 May 2014,MaidSafeCoin,MAID,$0.01206,"$5,458,978.53","452,552,416"
Historical Snapshot - 11 May 2014,Counterparty,XCP,$1.88,"$4,991,020.36","2,649,284"
Historical Snapshot - 11 May 2014,Auroracoin,AUR,$0.4233,"$4,569,027.51","10,794,488"
Historical Snapshot - 11 May 2014,Quark,QRK,$0.0168,"$4,162,634.23","247,794,208"
Historical Snapshot - 11 May 2014,Vertcoin,VTC,$0.9249,"$3,929,657.56","4,248,700"
Historical Snapshot - 11 May 2014,Primecoin,XPM,$0.6658,"$3,743,522.12","5,622,629"
Historical Snapshot - 11 May 2014,Zetacoin,ZET,$0.0214,"$3,433,476.87","160,427,408"
Historical Snapshot - 11 May 2014,Feathercoin,FTC,$0.07878,"$3,362,320.78","42,680,288"
Historical Snapshot - 11 May 2014,Novacoin,NVC,$2.68,"$2,125,375.50","793,222"
Historical Snapshot - 27 April 2014,Bitcoin,BTC,$436.39,"$5,542,719,717.83","12,701,300"
Historical Snapshot - 27 April 2014,Litecoin,LTC,$9.92,"$276,208,387.73","27,855,204"
Historical Snapshot - 27 April 2014,Peercoin,PPC,$2.02,"$43,036,897.63","21,353,680"
Historical Snapshot - 27 April 2014,XRP,XRP,$0.004859,"$37,983,602.34","7,817,889,792"
Historical Snapshot - 27 April 2014,Dogecoin,DOGE,$0.00044,"$32,876,232.54","74,722,787,328"
Historical Snapshot - 27 April 2014,Omni,OMNI,$34.98,"$21,669,522.12","619,478"
Historical Snapshot - 27 April 2014,Nxt,NXT,$0.01981,"$19,811,470.75","999,997,120"
Historical Snapshot - 27 April 2014,Namecoin,NMC,$1.99,"$17,141,640.79","8,621,182"
Historical Snapshot - 27 April 2014,BlackCoin,BLK,$0.1351,"$10,065,265.26","74,516,680"
Historical Snapshot - 27 April 2014,Dash,DASH,$1.71,"$7,100,813.26","4,160,508"
Historical Snapshot - 27 April 2014,BitShares PTS,PTS,$3.33,"$5,439,524.28","1,632,393"
Historical Snapshot - 27 April 2014,Quark,QRK,$0.01741,"$4,315,317.47","247,793,744"
Historical Snapshot - 27 April 2014,Primecoin,XPM,$0.7948,"$4,311,890.13","5,424,889"
Historical Snapshot - 27 April 2014,Zetacoin,ZET,$0.02642,"$4,237,292.15","160,366,720"
Historical Snapshot - 27 April 2014,Auroracoin,AUR,$0.3847,"$4,133,397.78","10,744,701"
Historical Snapshot - 27 April 2014,Counterparty,XCP,$1.55,"$4,108,026.94","2,649,302"
Historical Snapshot - 27 April 2014,Feathercoin,FTC,$0.08406,"$3,462,500.15","41,192,688"
